eta,x,y
0.7,6.220943613,304.2596349
0.7,6.436133487,290.0608519
0.7,6.533947066,288.0324544
0.7,6.65132336,279.9188641
0.7,6.690448792,263.6916836
0.7,6.807825086,241.3793103
0.7,6.964326812,221.0953347
0.7,7.003452244,210.9533469
0.7,7.218642117,194.7261663
0.7,7.29689298,176.4705882
0.7,7.394706559,156.1866126
0.7,7.472957422,135.9026369
0.7,7.727272727,121.703854
0.7,7.942462601,91.27789047
0.7,8.118527043,70.99391481
0.7,8.275028769,77.07910751
0.7,8.627157652,50.70993915
0.7,8.803222094,40.56795132
0.7,9.135788262,28.39756592
0.7,9.527042578,18.25557809
0.7,9.879171461,6.085192698
0.7,10.19217491,8.113590264
0.7,10.58342923,6.085192698
0.7,10.97468354,4.056795132
0.7,11.22899885,6.085192698
0.7,11.56156502,6.085192698
0.7,11.9136939,4.056795132
1,0.140549395,15.51409664
1,0.267019732,28.44452037
1,0.295780805,59.41844748
1,0.338862119,103.29868
1,0.395479829,126.5366623
1,0.494153825,149.783689
1,0.634763515,167.8784438
1,0.649264643,188.5267236
1,0.677724237,206.5973601
1,0.706183832,224.6679965
1,0.706545606,240.1519453
1,0.707208859,268.5391847
1,0.778086514,302.1028143
1,0.806546109,320.1734508
1,0.849084761,340.8277602
1,0.84938624,353.7310508
1,0.892527849,400.1919415
1,1.018877595,407.9610489
1,1.019661439,441.5096046
1,1.006426522,475.0551455
1,1.04902547,498.290113
1,1.118335435,464.7566313
1,1.18879102,480.255654
1,1.189152794,495.7396028
1,1.259608379,511.2386255
1,1.329521302,503.511725
1,1.399976887,519.0107477
1,1.428557072,542.2427004
1,1.485657148,586.1259478
1,1.542214562,606.7832719
1,1.541732196,586.1380069
1,1.555148001,560.3344404
1,1.610620092,534.5399183
1,1.695154734,552.6226139
1,1.722529005,524.2414041
1,1.834377622,511.3622317
1,1.889849713,485.5677096
1,1.932689844,519.1253096
1,1.988342822,501.0727619
1,2.128470146,498.5222516
1,2.211919465,470.153101
1,2.254518413,493.3880685
1,2.281651501,454.6842261
1,2.4490928,421.1718479
1,2.476467071,392.7906381
1,2.475864113,366.9840568
1,2.574839588,403.1343741
1,2.658710977,392.8298303
1,2.784216582,364.469724
1,2.882347917,364.4908275
1,3.021872284,336.133736
1,3.091785206,328.4068355
1,3.203573528,312.9470051
1,3.441771891,307.8369402
1,3.539601747,294.9547531
1,3.596219456,318.1927354
1,3.749581698,282.0966842
1,3.833453087,271.7921404
1,3.917083294,251.1649641
1,4.02923339,251.1890824
1,4.1128033,227.981248
1,4.182655927,217.6736894
1,4.266467021,204.7884875
1,4.350881072,217.7098669
1,4.421216065,228.0475733
1,4.491611354,240.9659379
1,4.617840508,243.5737291
1,4.701711897,233.2691854
1,4.785462695,217.8033253
1,5.009401112,202.3676131
1,5.20596526,215.3131108
1,5.304337777,225.6568468
1,5.416306986,217.9389907
1,5.500298966,212.7957632
1,5.626166346,199.9196057
1,5.724116793,192.1987348
1,5.808470548,202.539456
1,6.019234344,223.2299429
1,6.089328155,223.2450168
1,6.15948226,225.8407489
1,6.313206277,205.2286465
1,6.383058904,194.9210879
1,6.536963807,182.05096
1,6.620835197,171.7464162
1,6.676608766,158.8551847
1,6.760299268,140.8086665
1,6.886166647,127.932509
1,7.124063532,109.9191534
1,7.305583889,78.99044815
1,7.431813043,81.59823936
1,7.655751461,66.1625272
1,7.795758194,58.45070069
1,8.005858737,50.75394812
1,8.201759631,35.31220637
1,8.355543943,17.28076214
1,8.495550676,9.568935629
1,8.789824087,4.470929911
1,9.210326652,3.980715409
1,9.462664369,2.034981585
1,9.785095895,2.104321698
1,10.05145237,2.161602661
